LoginTime 	 User 	 LogoutTime
 08-Jun-2018 12:27:15 	 Phuc 	
 08-Jun-2018 12:28:43 	 Phuc 	
 08-Jun-2018 12:41:39 	 Phuc 	08-Jun-2018 13:33:01
 08-Jun-2018 16:34:23 	 Phuc 	08-Jun-2018 19:02:51
 10-Jun-2018 17:34:04 	 Phuc 	
 10-Jun-2018 17:50:43 	 Phuc 	10-Jun-2018 20:28:46
 11-Jun-2018 10:52:13 	 Phuc 	11-Jun-2018 11:25:35
 12-Jun-2018 20:47:14 	 Wei 	12-Jun-2018 21:22:33
 13-Jun-2018 10:21:10 	 Phuc 	
 13-Jun-2018 13:28:17 	 Phuc 	13-Jun-2018 14:06:59
 14-Jun-2018 09:05:39 	 Wei 	14-Jun-2018 12:30:50
 15-Jun-2018 16:55:41 	 Phuc 	15-Jun-2018 17:55:35
 17-Jun-2018 11:49:15 	 Phuc 	17-Jun-2018 12:39:41
 18-Jun-2018 11:15:15 	 Phuc 	
 18-Jun-2018 11:27:56 	 Phuc 	18-Jun-2018 11:57:30
 18-Jun-2018 13:44:19 	 Wei 	18-Jun-2018 15:15:43
 19-Jun-2018 09:55:26 	 Wei 	19-Jun-2018 11:08:44
 20-Jun-2018 10:06:22 	 Phuc 	20-Jun-2018 12:31:44
 21-Jun-2018 16:57:09 	 Phuc 	21-Jun-2018 18:51:43
 21-Jun-2018 19:19:49 	 Phuc 	21-Jun-2018 19:44:09
 22-Jun-2018 13:50:02 	 Phuc 	
 23-Jun-2018 11:31:13 	 Phuc 	23-Jun-2018 12:24:58
 23-Jun-2018 14:04:56 	 Phuc 	
 23-Jun-2018 16:12:13 	 Phuc 	23-Jun-2018 17:49:47
 24-Jun-2018 10:58:56 	 Phuc 	24-Jun-2018 12:21:08
 24-Jun-2018 13:47:51 	 Phuc 	24-Jun-2018 15:01:05
 25-Jun-2018 09:53:25 	 Phuc 	25-Jun-2018 11:15:32
 25-Jun-2018 13:25:10 	 Phuc 	25-Jun-2018 15:59:57
 26-Jun-2018 12:44:01 	 Wei 	
 26-Jun-2018 13:33:09 	 Wei 	
 26-Jun-2018 17:42:29 	 Phuc 	26-Jun-2018 20:54:55
 27-Jun-2018 11:23:00 	 Phuc 	27-Jun-2018 12:08:14
 27-Jun-2018 14:03:40 	 Phuc 	27-Jun-2018 15:55:49
 28-Jun-2018 13:35:55 	 Wei 	28-Jun-2018 15:58:20
 28-Jun-2018 17:32:12 	 Phuc 	28-Jun-2018 18:06:45
 28-Jun-2018 18:06:52 	 Phuc 	
 28-Jun-2018 18:07:10 	 Phuc 	
 28-Jun-2018 18:08:22 	 Phuc 	28-Jun-2018 19:15:11
 29-Jun-2018 15:28:12 	 Phuc 	29-Jun-2018 16:47:30
 30-Jun-2018 10:34:05 	 Phuc 	30-Jun-2018 11:12:23
 30-Jun-2018 11:13:24 	 Wei 	
 30-Jun-2018 16:56:28 	 Wei 	
 30-Jun-2018 17:32:06 	 Wei 	
