LoginTime 	 User 	 LogoutTime
 03-Jan-2018 14:23:11 	 Yanxiu 	03-Jan-2018 15:10:42
 04-Jan-2018 12:25:58 	 Wei 	04-Jan-2018 15:58:11
 06-Jan-2018 09:49:09 	 Yanxiu 	06-Jan-2018 11:57:29
 06-Jan-2018 15:51:33 	 Phuc 	06-Jan-2018 15:57:27
 06-Jan-2018 16:05:49 	 Phuc 	06-Jan-2018 16:49:10
 08-Jan-2018 08:45:46 	 Wei 	
 09-Jan-2018 11:32:07 	 Yanxiu 	
 09-Jan-2018 11:45:14 	 Yanxiu 	09-Jan-2018 13:21:43
 09-Jan-2018 16:23:28 	 Phuc 	09-Jan-2018 17:27:26
 10-Jan-2018 08:57:07 	 Wei 	
 10-Jan-2018 15:10:03 	 Yanxiu 	10-Jan-2018 17:34:25
 11-Jan-2018 09:36:23 	 Yanxiu 	11-Jan-2018 11:49:26
 11-Jan-2018 11:51:54 	 Phuc 	11-Jan-2018 12:05:51
 11-Jan-2018 14:41:38 	 Phuc 	11-Jan-2018 15:06:03
 13-Jan-2018 09:50:08 	 Wei 	13-Jan-2018 11:57:34
 15-Jan-2018 09:07:21 	 Wei 	15-Jan-2018 11:32:56
 15-Jan-2018 14:20:09 	 Yanxiu 	
 16-Jan-2018 09:31:07 	 Wei 	16-Jan-2018 11:43:59
 16-Jan-2018 11:45:26 	 Wei 	16-Jan-2018 12:24:43
 17-Jan-2018 16:36:02 	 Phuc 	17-Jan-2018 17:42:42
 18-Jan-2018 13:33:40 	 Yanxiu 	18-Jan-2018 13:35:18
 18-Jan-2018 15:29:11 	 Phuc 	18-Jan-2018 16:38:37
 20-Jan-2018 10:15:19 	 Wei 	20-Jan-2018 15:06:55
 21-Jan-2018 14:27:16 	 Phuc 	
 21-Jan-2018 15:45:17 	 Phuc 	21-Jan-2018 17:01:06
 22-Jan-2018 09:17:25 	 Wei 	22-Jan-2018 14:42:55
 22-Jan-2018 14:59:31 	 Wei 	22-Jan-2018 18:57:03
 23-Jan-2018 10:26:48 	 Wei 	
 23-Jan-2018 13:21:28 	 Phuc 	
 23-Jan-2018 17:25:22 	 Phuc 	23-Jan-2018 22:15:12
 24-Jan-2018 09:11:05 	 Wei 	
 24-Jan-2018 09:25:47 	 Wei 	24-Jan-2018 09:56:55
 24-Jan-2018 10:45:40 	 Wei 	
 25-Jan-2018 16:09:59 	 Phuc 	25-Jan-2018 16:52:44
