LoginTime 	 User 	 LogoutTime
 02-Aug-2016 13:57:12 	 aghapi 	
 02-Aug-2016 14:04:29 	 aghapi 	
 02-Aug-2016 14:13:29 	 aghapi 	04-Aug-2016 14:48:47
 04-Aug-2016 14:48:54 	 aghapi 	04-Aug-2016 14:49:23
 04-Aug-2016 14:51:44 	 aghapi 	04-Aug-2016 17:46:57
 09-Aug-2016 15:03:12 	 aghapi 	09-Aug-2016 15:34:53
 11-Aug-2016 10:40:21 	 aghapi 	11-Aug-2016 15:00:16
 12-Aug-2016 15:40:06 	 aghapi 	12-Aug-2016 16:29:41
 15-Aug-2016 10:46:55 	 aghapi 	17-Aug-2016 08:43:45
 17-Aug-2016 08:43:51 	 aghapi 	17-Aug-2016 08:44:05
 17-Aug-2016 09:02:15 	 aghapi 	
 17-Aug-2016 09:19:49 	 aghapi 	17-Aug-2016 16:35:57
 18-Aug-2016 11:41:11 	 aghapi 	
 18-Aug-2016 13:35:54 	 aghapi 	18-Aug-2016 13:40:40
 18-Aug-2016 13:45:40 	 aghapi 	18-Aug-2016 19:16:09
 19-Aug-2016 15:43:45 	 aghapi 	
 19-Aug-2016 17:01:13 	 aghapi 	
 22-Aug-2016 12:00:05 	 aghapi 	22-Aug-2016 16:05:20
 23-Aug-2016 09:35:40 	 aghapi 	
 24-Aug-2016 11:36:25 	 aghapi 	24-Aug-2016 12:35:48
 24-Aug-2016 14:29:59 	 aghapi 	24-Aug-2016 17:12:40
 25-Aug-2016 11:05:07 	 aghapi 	26-Aug-2016 13:38:56
 26-Aug-2016 13:39:23 	 aghapi 	26-Aug-2016 16:51:01
 26-Aug-2016 17:42:24 	 aghapi 	
 26-Aug-2016 18:08:19 	 aghapi 	
 29-Aug-2016 16:13:34 	 aghapi 	29-Aug-2016 16:56:39
 30-Aug-2016 13:43:04 	 aghapi 	30-Aug-2016 15:57:20
 31-Aug-2016 10:47:31 	 aghapi 	
