LoginTime 	 User 	 LogoutTime
 02-Dec-2018 15:24:33 	 Phuc 	02-Dec-2018 16:06:27
 02-Dec-2018 17:25:07 	 Phuc 	02-Dec-2018 17:53:47
 03-Dec-2018 12:42:15 	 Wei 	
 03-Dec-2018 14:30:51 	 Gary 	03-Dec-2018 18:17:34
 04-Dec-2018 08:32:26 	 Wei 	
 04-Dec-2018 12:18:49 	 Phuc 	
 04-Dec-2018 13:38:46 	 Phuc 	
 04-Dec-2018 15:43:43 	 Wei 	
 04-Dec-2018 16:38:16 	 Wei 	
 05-Dec-2018 16:53:25 	 Wei 	
 06-Dec-2018 15:05:25 	 Wei 	
 06-Dec-2018 17:26:27 	 Phuc 	
 07-Dec-2018 11:10:31 	 Phuc 	
 07-Dec-2018 11:29:52 	 Phuc 	
 07-Dec-2018 12:27:45 	 Phuc 	
 07-Dec-2018 14:04:20 	 Phuc 	07-Dec-2018 14:06:57
 07-Dec-2018 14:26:28 	 Phuc 	07-Dec-2018 15:40:40
 07-Dec-2018 20:37:48 	 Phuc 	07-Dec-2018 21:40:15
 08-Dec-2018 09:05:16 	 Phuc 	08-Dec-2018 09:47:03
 08-Dec-2018 14:10:02 	 Yanxiu 	
 09-Dec-2018 16:56:31 	 Phuc 	09-Dec-2018 18:08:42
 10-Dec-2018 08:53:04 	 Phuc 	
 10-Dec-2018 09:05:41 	 Phuc 	
 10-Dec-2018 10:49:36 	 Phuc 	10-Dec-2018 11:33:16
 10-Dec-2018 13:24:24 	 Yanxiu 	
 10-Dec-2018 13:53:30 	 Yanxiu 	
 10-Dec-2018 16:28:01 	 Yanxiu 	
 11-Dec-2018 10:15:16 	 Yanxiu 	
 11-Dec-2018 18:33:37 	 Phuc 	
 11-Dec-2018 18:47:19 	 Phuc 	11-Dec-2018 19:25:18
 12-Dec-2018 09:43:29 	 Yanxiu 	
 12-Dec-2018 19:34:19 	 Phuc 	12-Dec-2018 20:19:20
 13-Dec-2018 10:07:31 	 Yanxiu 	
 13-Dec-2018 11:40:15 	 Yanxiu 	13-Dec-2018 11:42:13
 13-Dec-2018 11:43:53 	 Yanxiu 	
 14-Dec-2018 18:38:43 	 Phuc 	14-Dec-2018 19:19:51
 15-Dec-2018 11:17:42 	 Yanxiu 	15-Dec-2018 15:23:14
 15-Dec-2018 15:25:38 	 Yanxiu 	
 15-Dec-2018 20:05:23 	 Phuc 	15-Dec-2018 20:50:43
 16-Dec-2018 18:45:09 	 Phuc 	
 16-Dec-2018 18:50:15 	 Phuc 	16-Dec-2018 19:25:25
 17-Dec-2018 10:41:51 	 Wei 	
 17-Dec-2018 14:16:44 	 Wei 	
 17-Dec-2018 18:51:19 	 Phuc 	
 18-Dec-2018 09:24:43 	 Phuc 	18-Dec-2018 10:44:46
 18-Dec-2018 18:50:43 	 Phuc 	
 18-Dec-2018 22:07:17 	 Phuc 	18-Dec-2018 22:57:27
 19-Dec-2018 16:11:50 	 Phuc 	19-Dec-2018 16:56:23
 21-Dec-2018 16:11:52 	 Phuc 	21-Dec-2018 17:08:11
 22-Dec-2018 15:36:08 	 Phuc 	
 24-Dec-2018 12:00:00 	 Phuc 	
 26-Dec-2018 14:57:24 	 Phuc 	26-Dec-2018 16:23:26
 31-Dec-2018 15:01:14 	 Phuc 	31-Dec-2018 16:02:21
 31-Dec-2018 17:12:56 	 Phuc 	31-Dec-2018 18:39:38
