LoginTime 	 User 	 LogoutTime
 02-Apr-2018 14:42:53 	 Wei 	02-Apr-2018 14:55:34
 02-Apr-2018 14:57:34 	 Wei 	02-Apr-2018 16:39:52
 02-Apr-2018 18:39:52 	 Wei 	02-Apr-2018 18:46:32
 03-Apr-2018 09:14:34 	 Wei 	03-Apr-2018 10:52:21
 03-Apr-2018 13:26:00 	 Phuc 	
 04-Apr-2018 10:13:26 	 Wei 	
 04-Apr-2018 10:27:53 	 Wei 	
 04-Apr-2018 16:37:45 	 Wei 	04-Apr-2018 17:52:09
 05-Apr-2018 09:58:12 	 Wei 	
 05-Apr-2018 12:24:55 	 Wei 	05-Apr-2018 13:15:32
 05-Apr-2018 13:45:48 	 Phuc 	
 08-Apr-2018 10:08:49 	 Wei 	
 09-Apr-2018 09:57:16 	 Wei 	
 09-Apr-2018 13:16:40 	 Phuc 	
 09-Apr-2018 13:20:54 	 Phuc 	
 09-Apr-2018 13:23:12 	 Phuc 	
 09-Apr-2018 15:55:10 	 Phuc 	09-Apr-2018 16:23:30
 09-Apr-2018 18:51:50 	 Wei 	09-Apr-2018 19:05:27
 11-Apr-2018 14:45:22 	 Wei 	
 12-Apr-2018 09:30:40 	 Wei 	
 13-Apr-2018 11:56:35 	 Wei 	
 15-Apr-2018 12:48:27 	 Wei 	15-Apr-2018 13:25:00
 15-Apr-2018 13:25:40 	 Wei 	15-Apr-2018 15:45:29
 15-Apr-2018 15:47:02 	 Yanxiu 	
 15-Apr-2018 15:51:33 	 Wei 	15-Apr-2018 16:10:27
 15-Apr-2018 16:12:30 	 Wei 	15-Apr-2018 16:36:18
 16-Apr-2018 09:49:34 	 Wei 	
 16-Apr-2018 13:50:58 	 Wei 	
 17-Apr-2018 15:46:00 	 Wei 	17-Apr-2018 16:43:41
 18-Apr-2018 11:31:42 	 Phuc 	18-Apr-2018 13:57:03
 18-Apr-2018 15:28:29 	 Wei 	
 19-Apr-2018 10:43:05 	 Wei 	19-Apr-2018 17:46:36
 20-Apr-2018 15:27:54 	 Wei 	
 22-Apr-2018 12:43:35 	 Yanxiu 	22-Apr-2018 15:43:49
 22-Apr-2018 16:19:37 	 Wei 	
 23-Apr-2018 09:50:38 	 Wei 	23-Apr-2018 15:06:44
 23-Apr-2018 15:08:53 	 Wei 	
 24-Apr-2018 10:23:15 	 Wei 	
 24-Apr-2018 13:19:43 	 Phuc 	
 25-Apr-2018 15:05:51 	 Wei 	
 25-Apr-2018 15:43:27 	 Wei 	
 26-Apr-2018 09:58:51 	 Wei 	
 27-Apr-2018 10:24:08 	 Joel 	27-Apr-2018 11:36:24
 27-Apr-2018 11:36:58 	 Joel 	
 27-Apr-2018 11:40:15 	 Joel 	27-Apr-2018 13:21:31
 28-Apr-2018 13:29:09 	 Phuc 	28-Apr-2018 15:57:32
 29-Apr-2018 11:05:24 	 Wei 	
 30-Apr-2018 08:53:46 	 Wei 	
 30-Apr-2018 17:42:02 	 Phuc 	30-Apr-2018 20:01:19
