LoginTime 	 User 	 LogoutTime
 01-Feb-2018 09:45:10 	 Wei 	
 02-Feb-2018 11:01:31 	 Wei 	
 03-Feb-2018 10:41:18 	 Wei 	03-Feb-2018 15:06:38
 04-Feb-2018 10:50:19 	 Wei 	
 05-Feb-2018 08:42:04 	 Wei 	05-Feb-2018 11:47:05
 06-Feb-2018 09:02:00 	 Wei 	06-Feb-2018 11:43:37
 06-Feb-2018 14:13:55 	 Phuc 	
 07-Feb-2018 08:57:38 	 Wei 	07-Feb-2018 16:16:55
 08-Feb-2018 09:04:22 	 Wei 	
 09-Feb-2018 14:28:35 	 Yanxiu 	09-Feb-2018 16:24:15
 10-Feb-2018 13:00:20 	 Wei 	
 10-Feb-2018 14:22:31 	 Wei 	10-Feb-2018 16:23:12
 11-Feb-2018 11:52:34 	 Phuc 	11-Feb-2018 13:02:30
 11-Feb-2018 13:33:54 	 Wei 	11-Feb-2018 15:51:37
 12-Feb-2018 09:35:28 	 Wei 	
 12-Feb-2018 16:03:18 	 Phuc 	12-Feb-2018 17:24:23
 12-Feb-2018 17:28:12 	 Phuc 	12-Feb-2018 18:12:47
 13-Feb-2018 09:17:57 	 Wei 	13-Feb-2018 12:55:26
 13-Feb-2018 13:14:48 	 Phuc 	13-Feb-2018 15:47:27
 14-Feb-2018 09:09:33 	 Wei 	
 14-Feb-2018 10:21:23 	 Wei 	14-Feb-2018 10:43:12
 14-Feb-2018 15:57:27 	 Phuc 	14-Feb-2018 16:53:30
 15-Feb-2018 09:34:37 	 Wei 	15-Feb-2018 11:53:51
 15-Feb-2018 13:14:59 	 Phuc 	
 15-Feb-2018 14:00:41 	 Phuc 	
 19-Feb-2018 14:54:29 	 Yanxiu 	19-Feb-2018 15:42:39
