LoginTime 	 User 	 LogoutTime
 01-Jul-2018 15:37:40 	 Phuc 	
 01-Jul-2018 17:34:58 	 Phuc 	01-Jul-2018 19:58:23
 02-Jul-2018 09:31:55 	 Wei 	
 02-Jul-2018 14:14:40 	 Phuc 	02-Jul-2018 16:04:28
 03-Jul-2018 10:21:05 	 Phuc 	03-Jul-2018 11:58:11
 03-Jul-2018 19:50:10 	 Phuc 	03-Jul-2018 21:55:18
 04-Jul-2018 11:08:57 	 Phuc 	04-Jul-2018 13:17:17
 04-Jul-2018 13:59:50 	 Wei 	
 05-Jul-2018 09:56:12 	 Wei 	
 05-Jul-2018 10:43:00 	 Wei 	
 06-Jul-2018 15:45:51 	 Phuc 	06-Jul-2018 16:49:27
 07-Jul-2018 11:24:11 	 Phuc 	07-Jul-2018 12:48:23
 08-Jul-2018 12:03:22 	 Wei 	
 09-Jul-2018 10:02:10 	 Wei 	10-Jul-2018 12:08:27
 10-Jul-2018 13:26:07 	 Phuc 	10-Jul-2018 15:18:17
 10-Jul-2018 17:59:52 	 Wei 	
 11-Jul-2018 09:40:34 	 Wei 	11-Jul-2018 12:25:34
 11-Jul-2018 16:03:32 	 Phuc 	11-Jul-2018 17:58:02
 12-Jul-2018 09:38:32 	 Wei 	
 12-Jul-2018 10:18:58 	 Wei 	
 12-Jul-2018 13:14:04 	 Phuc 	12-Jul-2018 14:57:26
 13-Jul-2018 10:07:57 	 Wei 	
 13-Jul-2018 14:40:11 	 Phuc 	13-Jul-2018 16:35:32
 15-Jul-2018 11:10:47 	 Wei 	
 15-Jul-2018 11:54:15 	 Wei 	
 16-Jul-2018 17:39:27 	 Phuc 	
 17-Jul-2018 10:45:11 	 Phuc 	17-Jul-2018 12:19:33
 18-Jul-2018 10:44:19 	 Phuc 	18-Jul-2018 12:05:41
 18-Jul-2018 15:40:21 	 Wei 	
 19-Jul-2018 09:36:46 	 Wei 	
 19-Jul-2018 17:54:07 	 Phuc 	19-Jul-2018 19:17:05
 20-Jul-2018 13:58:11 	 Wei 	
 20-Jul-2018 17:11:14 	 Phuc 	20-Jul-2018 18:26:23
 23-Jul-2018 09:26:46 	 Wei 	
 23-Jul-2018 15:09:58 	 Phuc 	23-Jul-2018 16:05:45
 25-Jul-2018 10:19:00 	 Yanxiu 	
 25-Jul-2018 15:59:09 	 Phuc 	25-Jul-2018 16:47:34
 26-Jul-2018 09:26:00 	 Wei 	
 26-Jul-2018 09:52:25 	 Phuc 	26-Jul-2018 12:01:51
 26-Jul-2018 13:50:00 	 Phuc 	26-Jul-2018 14:24:19
 27-Jul-2018 16:23:22 	 Phuc 	27-Jul-2018 20:04:51
 30-Jul-2018 10:23:00 	 Wei 	
 30-Jul-2018 17:25:58 	 Phuc 	30-Jul-2018 19:16:14
 31-Jul-2018 09:57:30 	 Wei 	31-Jul-2018 12:04:18
 31-Jul-2018 14:09:36 	 Wei 	
