LoginTime 	 User 	 LogoutTime
 01-Jun-2016 11:18:07 	 aghapi 	01-Jun-2016 11:19:12
 01-Jun-2016 11:20:56 	 aghapi 	01-Jun-2016 17:08:54
 02-Jun-2016 10:22:08 	 aghapi 	06-Jun-2016 09:06:20
 06-Jun-2016 09:07:22 	 aghapi 	06-Jun-2016 10:17:04
 06-Jun-2016 14:21:19 	 aghapi 	
 06-Jun-2016 16:28:05 	 aghapi 	07-Jun-2016 10:23:39
 07-Jun-2016 10:24:11 	 aghapi 	07-Jun-2016 12:09:25
 07-Jun-2016 12:09:53 	 aghapi 	
 07-Jun-2016 13:58:20 	 aghapi 	07-Jun-2016 14:37:02
 08-Jun-2016 09:33:38 	 aghapi 	09-Jun-2016 16:00:09
 09-Jun-2016 16:06:25 	 aghapi 	09-Jun-2016 19:04:57
 10-Jun-2016 08:57:54 	 aghapi 	10-Jun-2016 11:10:25
 10-Jun-2016 11:50:07 	 aghapi 	10-Jun-2016 16:55:48
 15-Jun-2016 09:01:36 	 aghapi 	
 15-Jun-2016 15:17:27 	 aghapi 	17-Jun-2016 12:07:21
 20-Jun-2016 10:20:54 	 aghapi 	22-Jun-2016 08:05:22
 22-Jun-2016 08:37:01 	 aghapi 	29-Jun-2016 12:20:59
 29-Jun-2016 12:22:13 	 aghapi 	30-Jun-2016 11:30:04
 30-Jun-2016 11:30:10 	 aghapi 	
