LoginTime 	 User 	 LogoutTime
 01-Aug-2018 10:13:58 	 Wei 	
 01-Aug-2018 11:32:32 	 Wei 	
 01-Aug-2018 17:02:45 	 Wei 	
 02-Aug-2018 11:28:47 	 Phuc 	02-Aug-2018 12:39:43
 03-Aug-2018 13:57:34 	 Phuc 	
 03-Aug-2018 15:11:23 	 Phuc 	03-Aug-2018 15:27:51
 04-Aug-2018 14:30:55 	 Phuc 	
 04-Aug-2018 14:53:07 	 Phuc 	04-Aug-2018 15:50:05
 06-Aug-2018 09:44:10 	 Wei 	06-Aug-2018 15:25:49
 08-Aug-2018 10:32:17 	 Wei 	
 09-Aug-2018 13:49:14 	 Phuc 	09-Aug-2018 14:51:36
 09-Aug-2018 15:33:24 	 Phuc 	09-Aug-2018 17:41:01
 10-Aug-2018 14:21:23 	 Wei 	
 10-Aug-2018 16:05:32 	 Phuc 	
 13-Aug-2018 09:18:09 	 Wei 	
 14-Aug-2018 11:31:14 	 Phuc 	14-Aug-2018 12:52:17
 14-Aug-2018 13:03:16 	 Phuc 	14-Aug-2018 13:15:46
 14-Aug-2018 14:41:54 	 Wei 	
 15-Aug-2018 14:52:11 	 Phuc 	15-Aug-2018 16:30:04
 16-Aug-2018 09:56:11 	 Wei 	16-Aug-2018 11:47:08
 16-Aug-2018 14:39:04 	 Phuc 	
 17-Aug-2018 09:57:55 	 Wei 	
 17-Aug-2018 13:50:32 	 Phuc 	
 18-Aug-2018 10:55:06 	 Wei 	
 19-Aug-2018 11:44:36 	 Phuc 	19-Aug-2018 13:11:55
 20-Aug-2018 10:19:15 	 Wei 	
 21-Aug-2018 16:29:55 	 Phuc 	21-Aug-2018 17:40:29
 21-Aug-2018 23:19:17 	 Wei 	
 23-Aug-2018 10:49:36 	 Phuc 	23-Aug-2018 12:31:54
 23-Aug-2018 14:49:08 	 Wei 	23-Aug-2018 14:56:36
 23-Aug-2018 15:15:39 	 Wei 	
 24-Aug-2018 11:41:09 	 Phuc 	24-Aug-2018 13:01:25
 24-Aug-2018 15:31:21 	 Wei 	
 25-Aug-2018 11:44:04 	 Phuc 	
 25-Aug-2018 12:06:51 	 Phuc 	25-Aug-2018 12:51:49
 25-Aug-2018 13:53:55 	 Phuc 	25-Aug-2018 15:06:19
 25-Aug-2018 17:39:38 	 Wei 	
 26-Aug-2018 12:48:09 	 Phuc 	26-Aug-2018 14:32:18
 27-Aug-2018 15:25:36 	 Yanxiu 	
 27-Aug-2018 15:41:37 	 Yanxiu 	
 27-Aug-2018 16:47:48 	 Wei 	
 28-Aug-2018 14:39:12 	 Yanxiu 	
 28-Aug-2018 16:54:28 	 Phuc 	28-Aug-2018 18:06:22
 29-Aug-2018 11:03:41 	 Yanxiu 	
 30-Aug-2018 10:50:32 	 Phuc 	30-Aug-2018 11:57:49
 31-Aug-2018 10:57:11 	 Yanxiu 	
 31-Aug-2018 11:08:23 	 Wei 	
 31-Aug-2018 16:13:55 	 Yanxiu 	
