LoginTime 	 User 	 LogoutTime
 05-Jul-2016 09:29:40 	 aghapi 	05-Jul-2016 15:25:39
 06-Jul-2016 09:55:47 	 aghapi 	11-Jul-2016 10:28:43
 11-Jul-2016 10:28:49 	 aghapi 	11-Jul-2016 17:10:59
 12-Jul-2016 11:44:17 	 aghapi 	18-Jul-2016 09:58:12
 18-Jul-2016 09:58:22 	 aghapi 	18-Jul-2016 09:59:03
 18-Jul-2016 10:50:39 	 aghapi 	19-Jul-2016 15:04:20
 20-Jul-2016 14:27:04 	 aghapi 	20-Jul-2016 17:32:34
 21-Jul-2016 09:38:39 	 aghapi 	21-Jul-2016 16:46:17
 22-Jul-2016 11:10:36 	 aghapi 	22-Jul-2016 13:01:21
 25-Jul-2016 14:54:15 	 aghapi 	25-Jul-2016 16:11:49
 26-Jul-2016 10:44:32 	 aghapi 	
