LoginTime 	 User 	 LogoutTime
 01-May-2018 10:03:05 	 Phuc 	01-May-2018 13:27:53
 01-May-2018 19:50:08 	 Wei 	
 02-May-2018 14:47:27 	 Phuc 	
 02-May-2018 17:03:37 	 Phuc 	02-May-2018 17:03:48
 02-May-2018 17:04:43 	 Phuc 	02-May-2018 20:30:04
 03-May-2018 13:41:15 	 Phuc 	03-May-2018 14:58:22
 03-May-2018 15:27:36 	 Phuc 	03-May-2018 16:10:17
 04-May-2018 16:37:13 	 Phuc 	
 04-May-2018 16:39:23 	 Phuc 	04-May-2018 18:05:56
 05-May-2018 14:35:05 	 Wei 	
 06-May-2018 10:41:00 	 Wei 	06-May-2018 15:57:35
 07-May-2018 09:20:15 	 Wei 	
 07-May-2018 10:22:40 	 Wei 	
 07-May-2018 17:44:58 	 Phuc 	
 07-May-2018 17:49:39 	 Phuc 	07-May-2018 19:26:15
 08-May-2018 10:38:03 	 Wei 	
 08-May-2018 15:20:12 	 Phuc 	
 08-May-2018 18:43:19 	 Phuc 	08-May-2018 18:54:18
 09-May-2018 10:50:30 	 Wei 	
 09-May-2018 11:34:50 	 Wei 	
 10-May-2018 11:12:59 	 Wei 	10-May-2018 11:29:01
 10-May-2018 16:54:24 	 Phuc 	10-May-2018 17:44:30
 10-May-2018 17:56:12 	 Phuc 	
 10-May-2018 18:09:37 	 Phuc 	
 10-May-2018 18:17:36 	 Phuc 	
 10-May-2018 18:22:37 	 Phuc 	10-May-2018 18:34:10
 11-May-2018 16:56:22 	 Phuc 	11-May-2018 18:01:44
 13-May-2018 11:52:56 	 Wei 	
 14-May-2018 10:51:27 	 Yanxiu 	
 16-May-2018 09:43:45 	 Wei 	
 16-May-2018 10:17:16 	 Wei 	
 24-May-2018 10:53:14 	 Wei 	
 30-May-2018 16:53:59 	 Phuc 	30-May-2018 20:30:46
 31-May-2018 14:21:32 	 Wei 	31-May-2018 14:49:45
