LoginTime 	 User 	 LogoutTime
 01-Nov-2018 13:46:55 	 Yanxiu 	
 02-Nov-2018 12:01:32 	 Yanxiu 	
 03-Nov-2018 14:44:25 	 Phuc 	
 03-Nov-2018 15:07:08 	 Phuc 	03-Nov-2018 15:57:55
 03-Nov-2018 17:05:38 	 Phuc 	03-Nov-2018 17:32:40
 04-Nov-2018 12:37:38 	 Phuc 	04-Nov-2018 13:31:05
 04-Nov-2018 14:24:42 	 Phuc 	04-Nov-2018 15:02:12
 04-Nov-2018 15:43:31 	 Phuc 	04-Nov-2018 16:11:03
 05-Nov-2018 10:28:21 	 Phuc 	05-Nov-2018 11:37:54
 05-Nov-2018 14:59:27 	 Phuc 	
 05-Nov-2018 17:16:46 	 Phuc 	05-Nov-2018 18:04:31
 08-Nov-2018 13:28:18 	 Gary 	08-Nov-2018 13:28:21
 08-Nov-2018 13:28:58 	 Yanxiu 	
 08-Nov-2018 18:25:20 	 Phuc 	08-Nov-2018 19:00:50
 09-Nov-2018 12:14:30 	 Phuc 	09-Nov-2018 13:19:51
 11-Nov-2018 14:33:28 	 Yanxiu 	
 12-Nov-2018 11:34:48 	 Phuc 	12-Nov-2018 12:53:38
 12-Nov-2018 13:56:26 	 Gary 	
 12-Nov-2018 14:19:32 	 Gary 	
 14-Nov-2018 10:10:14 	 Phuc 	14-Nov-2018 11:25:30
 14-Nov-2018 13:37:11 	 Phuc 	14-Nov-2018 14:36:10
 14-Nov-2018 15:45:45 	 Phuc 	14-Nov-2018 16:09:04
 15-Nov-2018 10:31:26 	 Yanxiu 	
 15-Nov-2018 16:53:52 	 Phuc 	15-Nov-2018 18:11:15
 16-Nov-2018 13:40:09 	 Phuc 	16-Nov-2018 14:18:11
 16-Nov-2018 17:55:34 	 Phuc 	16-Nov-2018 19:43:31
 20-Nov-2018 15:14:49 	 Yanxiu 	
 22-Nov-2018 13:03:15 	 Phuc 	22-Nov-2018 13:24:32
 22-Nov-2018 16:00:08 	 Phuc 	22-Nov-2018 16:36:34
 26-Nov-2018 10:00:08 	 Phuc 	
 26-Nov-2018 11:05:55 	 Phuc 	26-Nov-2018 11:32:30
 27-Nov-2018 10:58:05 	 Phuc 	27-Nov-2018 11:53:36
 27-Nov-2018 12:18:07 	 Phuc 	27-Nov-2018 12:46:16
 30-Nov-2018 10:20:22 	 Joel 	
 30-Nov-2018 10:39:41 	 Joel 	30-Nov-2018 11:31:16
