LoginTime 	 User 	 LogoutTime
 01-Dec-2017 15:53:45 	 Yanxiu 	
 01-Dec-2017 15:58:57 	 Yanxiu 	01-Dec-2017 16:34:50
 01-Dec-2017 16:37:20 	 Yanxiu 	
 02-Dec-2017 14:46:49 	 Phuc 	02-Dec-2017 16:04:00
 03-Dec-2017 15:04:08 	 Phuc 	
 03-Dec-2017 16:18:49 	 Yanxiu 	03-Dec-2017 17:03:01
 04-Dec-2017 08:57:14 	 Wei 	04-Dec-2017 11:46:04
 05-Dec-2017 08:42:18 	 Yanxiu 	
 05-Dec-2017 17:29:58 	 Yanxiu 	
 06-Dec-2017 10:55:46 	 Yanxiu 	
 06-Dec-2017 15:40:49 	 Yanxiu 	06-Dec-2017 18:52:34
 07-Dec-2017 10:57:43 	 Phuc 	07-Dec-2017 11:19:13
 07-Dec-2017 11:20:09 	 Phuc 	07-Dec-2017 11:35:03
 07-Dec-2017 12:35:36 	 Phuc 	
 07-Dec-2017 14:44:57 	 Yanxiu 	
 07-Dec-2017 14:46:26 	 Yanxiu 	
 07-Dec-2017 14:49:10 	 Yanxiu 	
 08-Dec-2017 13:40:22 	 Phuc 	08-Dec-2017 15:14:20
 09-Dec-2017 11:20:44 	 Yanxiu 	
 09-Dec-2017 11:55:01 	 Yanxiu 	
 09-Dec-2017 13:40:06 	 Yanxiu 	09-Dec-2017 16:02:52
 10-Dec-2017 10:37:27 	 Yanxiu 	
 10-Dec-2017 15:25:11 	 Phuc 	10-Dec-2017 16:35:18
 11-Dec-2017 08:45:35 	 Yanxiu 	
 11-Dec-2017 14:53:44 	 Phuc 	11-Dec-2017 15:52:49
 11-Dec-2017 16:27:31 	 Phuc 	
 12-Dec-2017 09:03:59 	 Yanxiu 	
 13-Dec-2017 09:16:36 	 Yanxiu 	
 13-Dec-2017 15:49:54 	 Yanxiu 	
 13-Dec-2017 15:54:01 	 Yanxiu 	13-Dec-2017 15:55:37
 13-Dec-2017 15:56:48 	 Yanxiu 	
 14-Dec-2017 08:45:14 	 Yanxiu 	
 15-Dec-2017 16:25:37 	 Phuc 	15-Dec-2017 17:38:20
 16-Dec-2017 15:34:40 	 Yanxiu 	16-Dec-2017 17:15:39
 17-Dec-2017 11:16:40 	 Yanxiu 	
 17-Dec-2017 11:48:44 	 Yanxiu 	
 17-Dec-2017 13:27:01 	 Yanxiu 	
 17-Dec-2017 15:19:09 	 Yanxiu 	
 18-Dec-2017 09:45:46 	 Yanxiu 	
 18-Dec-2017 15:00:35 	 Yanxiu 	
 19-Dec-2017 09:41:09 	 Yanxiu 	
 19-Dec-2017 15:53:01 	 Yanxiu 	
 20-Dec-2017 10:07:40 	 Yanxiu 	20-Dec-2017 16:33:10
 21-Dec-2017 11:07:03 	 Yanxiu 	
 21-Dec-2017 19:22:43 	 Phuc 	
 21-Dec-2017 19:33:39 	 Phuc 	21-Dec-2017 21:24:13
 22-Dec-2017 09:54:27 	 Yanxiu 	22-Dec-2017 14:03:06
 22-Dec-2017 15:24:43 	 Phuc 	22-Dec-2017 15:25:05
 22-Dec-2017 15:33:59 	 Phuc 	22-Dec-2017 16:32:02
 28-Dec-2017 09:45:59 	 Yanxiu 	28-Dec-2017 12:45:47
 28-Dec-2017 12:48:53 	 Yanxiu 	
