LoginTime 	 User 	 LogoutTime
 03-Oct-2018 15:19:17 	 Phuc 	03-Oct-2018 16:19:11
 04-Oct-2018 10:38:28 	 Yanxiu 	
 08-Oct-2018 09:38:22 	 Phuc 	08-Oct-2018 11:42:10
 10-Oct-2018 15:11:56 	 Phuc 	
 10-Oct-2018 15:16:10 	 Phuc 	
 10-Oct-2018 15:28:19 	 Phuc 	10-Oct-2018 19:10:25
 11-Oct-2018 17:13:38 	 Phuc 	11-Oct-2018 18:37:21
 12-Oct-2018 14:28:35 	 Phuc 	
 12-Oct-2018 17:49:02 	 Phuc 	
 13-Oct-2018 14:51:43 	 Phuc 	13-Oct-2018 15:48:25
 13-Oct-2018 16:18:35 	 Phuc 	13-Oct-2018 17:56:11
 16-Oct-2018 10:34:15 	 Yanxiu 	
 16-Oct-2018 10:44:43 	 Yanxiu 	16-Oct-2018 11:38:16
 16-Oct-2018 11:39:51 	 Yanxiu 	
 16-Oct-2018 13:42:41 	 Yanxiu 	
 16-Oct-2018 14:04:45 	 Yanxiu 	
 16-Oct-2018 14:19:06 	 Yanxiu 	
 16-Oct-2018 16:18:42 	 Phuc 	16-Oct-2018 17:21:26
 17-Oct-2018 10:36:55 	 Yanxiu 	
 17-Oct-2018 15:27:39 	 Phuc 	17-Oct-2018 17:12:20
 18-Oct-2018 10:29:11 	 Yanxiu 	
 18-Oct-2018 13:05:52 	 Yanxiu 	
 18-Oct-2018 16:11:52 	 Phuc 	18-Oct-2018 17:52:28
 19-Oct-2018 12:25:09 	 Yanxiu 	
 20-Oct-2018 11:43:27 	 Yanxiu 	
 21-Oct-2018 11:29:11 	 Phuc 	21-Oct-2018 14:36:41
 21-Oct-2018 20:19:25 	 Phuc 	21-Oct-2018 21:28:46
 22-Oct-2018 09:27:05 	 Phuc 	22-Oct-2018 10:45:06
 22-Oct-2018 14:07:50 	 Phuc 	22-Oct-2018 15:17:27
 23-Oct-2018 16:42:04 	 Phuc 	
 24-Oct-2018 16:33:15 	 Phuc 	
 25-Oct-2018 16:15:10 	 Yanxiu 	
 25-Oct-2018 17:19:13 	 Phuc 	
 25-Oct-2018 17:58:08 	 Phuc 	25-Oct-2018 18:14:44
 27-Oct-2018 17:02:22 	 Phuc 	27-Oct-2018 18:00:56
 28-Oct-2018 13:52:42 	 Phuc 	28-Oct-2018 15:23:11
 29-Oct-2018 10:32:56 	 Phuc 	29-Oct-2018 11:23:08
 29-Oct-2018 12:27:04 	 Phuc 	29-Oct-2018 13:10:38
 31-Oct-2018 12:03:46 	 Phuc 	31-Oct-2018 14:50:39
 31-Oct-2018 16:19:03 	 Phuc 	31-Oct-2018 18:57:33
