LoginTime 	 User 	 LogoutTime
 01-Jul-2019 10:13:15 	 Phuc 	
 01-Jul-2019 12:46:59 	 Wei 	
 01-Jul-2019 20:49:38 	 Wei 	
 02-Jul-2019 16:11:50 	 Wei 	
 03-Jul-2019 08:26:51 	 Phuc 	
 03-Jul-2019 08:33:44 	 Phuc 	
 03-Jul-2019 08:35:52 	 Phuc 	
 03-Jul-2019 08:45:58 	 Phuc 	
 03-Jul-2019 08:55:55 	 Phuc 	03-Jul-2019 12:23:24
 07-Jul-2019 11:00:15 	 Wei 	
 07-Jul-2019 15:22:05 	 Wei 	
 08-Jul-2019 10:17:40 	 Phuc 	
 08-Jul-2019 13:58:41 	 Wei 	
 09-Jul-2019 09:50:04 	 Wei 	
 09-Jul-2019 16:53:29 	 Wei 	
 10-Jul-2019 09:44:40 	 Phuc 	10-Jul-2019 17:49:35
 10-Jul-2019 20:15:05 	 Wei 	
 12-Jul-2019 11:16:50 	 Gary 	
 12-Jul-2019 13:42:34 	 Gary 	
 12-Jul-2019 16:02:32 	 Phuc 	12-Jul-2019 18:24:42
 14-Jul-2019 11:55:15 	 Wei 	
 14-Jul-2019 12:22:07 	 Wei 	
 15-Jul-2019 10:33:40 	 Phuc 	15-Jul-2019 12:39:00
 15-Jul-2019 14:12:46 	 Wei 	
 16-Jul-2019 09:50:40 	 Wei 	
 16-Jul-2019 14:55:37 	 Wei 	
 16-Jul-2019 16:34:02 	 Wei 	
 17-Jul-2019 10:05:19 	 Phuc 	17-Jul-2019 11:52:58
 17-Jul-2019 15:13:04 	 Phuc 	
 18-Jul-2019 09:36:36 	 Wei 	
 18-Jul-2019 10:03:01 	 Wei 	18-Jul-2019 12:39:55
 18-Jul-2019 13:46:43 	 Wei 	
 18-Jul-2019 18:36:07 	 Phuc 	18-Jul-2019 20:05:53
 19-Jul-2019 14:51:10 	 Gary 	
 19-Jul-2019 14:58:36 	 Gary 	
 19-Jul-2019 15:13:36 	 Gary 	
 19-Jul-2019 16:28:10 	 Phuc 	19-Jul-2019 17:31:24
 20-Jul-2019 11:40:44 	 Phuc 	20-Jul-2019 14:04:59
 20-Jul-2019 14:05:49 	 Phuc 	20-Jul-2019 14:43:27
 22-Jul-2019 09:41:02 	 Phuc 	22-Jul-2019 11:46:56
 22-Jul-2019 14:33:21 	 Wei 	
 23-Jul-2019 10:02:37 	 Wei 	
 24-Jul-2019 09:42:44 	 Phuc 	
 25-Jul-2019 10:52:04 	 Gary 	
 25-Jul-2019 11:47:13 	 Gary 	
 25-Jul-2019 14:22:28 	 Gary 	
 25-Jul-2019 14:30:05 	 Gary 	25-Jul-2019 14:41:20
 25-Jul-2019 14:42:01 	 Gary 	
 25-Jul-2019 15:12:12 	 Gary 	
 25-Jul-2019 15:13:00 	 Gary 	
 25-Jul-2019 17:40:46 	 Gary 	
 25-Jul-2019 17:51:41 	 Gary 	
 25-Jul-2019 19:02:41 	 Gary 	
 25-Jul-2019 20:36:17 	 Phuc 	
 26-Jul-2019 09:57:05 	 Wei 	
 26-Jul-2019 13:47:27 	 Phuc 	26-Jul-2019 17:09:05
 27-Jul-2019 11:22:59 	 Phuc 	
 29-Jul-2019 11:17:30 	 Phuc 	29-Jul-2019 11:51:01
 29-Jul-2019 14:17:45 	 Wei 	
 30-Jul-2019 15:51:12 	 Wei 	
 30-Jul-2019 16:31:56 	 Wei 	
 31-Jul-2019 13:19:57 	 Phuc 	31-Jul-2019 22:19:51
 31-Jul-2019 22:21:14 	 Phuc 	
