LoginTime 	 User 	 LogoutTime
 01-Nov-2017 13:28:57 	 Wei 	01-Nov-2017 13:29:00
 02-Nov-2017 08:56:13 	 Wei 	
 02-Nov-2017 10:37:49 	 Wei 	02-Nov-2017 11:39:23
 02-Nov-2017 11:39:45 	 Wei 	02-Nov-2017 19:35:58
 03-Nov-2017 14:46:19 	 Wei 	03-Nov-2017 14:50:28
 03-Nov-2017 14:51:48 	 Wei 	03-Nov-2017 15:03:30
 05-Nov-2017 10:07:12 	 Wei 	05-Nov-2017 14:29:47
 06-Nov-2017 09:19:48 	 Wei 	06-Nov-2017 09:19:57
 06-Nov-2017 11:31:25 	 Wei 	06-Nov-2017 12:31:50
 06-Nov-2017 14:37:47 	 Wei 	06-Nov-2017 16:02:07
 06-Nov-2017 17:32:20 	 Phuc 	06-Nov-2017 17:32:59
 07-Nov-2017 08:32:05 	 Wei 	07-Nov-2017 10:25:11
 07-Nov-2017 10:26:25 	 Wei 	07-Nov-2017 16:41:54
 07-Nov-2017 16:49:45 	 Wei 	07-Nov-2017 17:04:50
 08-Nov-2017 11:22:14 	 Phuc 	08-Nov-2017 13:03:35
 08-Nov-2017 13:11:09 	 Wei 	08-Nov-2017 13:47:23
 08-Nov-2017 13:48:30 	 Wei 	08-Nov-2017 15:54:24
 09-Nov-2017 08:22:10 	 Wei 	09-Nov-2017 16:46:25
 11-Nov-2017 10:19:01 	 Wei 	11-Nov-2017 16:00:08
 13-Nov-2017 11:25:54 	 Phuc 	13-Nov-2017 13:01:08
 13-Nov-2017 13:31:47 	 Wei 	13-Nov-2017 15:06:28
 14-Nov-2017 08:49:34 	 Wei 	14-Nov-2017 17:17:21
 15-Nov-2017 09:54:35 	 Wei 	15-Nov-2017 10:52:31
 16-Nov-2017 08:34:22 	 Wei 	16-Nov-2017 18:15:17
 17-Nov-2017 10:24:42 	 Wei 	17-Nov-2017 10:41:40
 17-Nov-2017 10:52:31 	 Joel 	17-Nov-2017 10:56:42
 18-Nov-2017 10:29:13 	 Wei 	18-Nov-2017 13:12:01
 20-Nov-2017 10:25:13 	 Wei 	20-Nov-2017 10:30:57
 20-Nov-2017 13:57:52 	 Phuc 	20-Nov-2017 14:52:45
 21-Nov-2017 14:27:29 	 Phuc 	21-Nov-2017 15:54:15
 21-Nov-2017 16:43:20 	 Wei 	21-Nov-2017 17:20:09
 21-Nov-2017 17:21:32 	 Wei 	21-Nov-2017 19:34:52
 22-Nov-2017 09:16:24 	 Wei 	22-Nov-2017 10:07:55
 22-Nov-2017 14:23:07 	 Wei 	22-Nov-2017 17:03:57
 23-Nov-2017 10:34:22 	 Wei 	23-Nov-2017 14:09:02
 25-Nov-2017 10:49:45 	 Wei 	25-Nov-2017 13:17:18
 27-Nov-2017 13:58:43 	 Wei 	27-Nov-2017 16:06:02
 28-Nov-2017 09:00:34 	 Wei 	28-Nov-2017 12:09:55
 28-Nov-2017 14:11:55 	 Phuc 	
 29-Nov-2017 09:23:20 	 Wei 	29-Nov-2017 10:17:33
 29-Nov-2017 12:37:21 	 Wei 	29-Nov-2017 17:22:38
 30-Nov-2017 09:12:58 	 Wei 	30-Nov-2017 12:38:01
 30-Nov-2017 14:47:26 	 Phuc 	30-Nov-2017 16:30:30
