LoginTime 	 User 	 LogoutTime
 01-Jan-2019 07:36:44 	 Phuc 	01-Jan-2019 08:47:22
 01-Jan-2019 10:30:43 	 Wei 	
 01-Jan-2019 18:35:31 	 Phuc 	01-Jan-2019 19:32:11
 02-Jan-2019 09:43:45 	 Wei 	
 02-Jan-2019 14:47:04 	 Wei 	
 02-Jan-2019 17:20:44 	 Phuc 	02-Jan-2019 18:12:57
 03-Jan-2019 09:48:59 	 Wei 	03-Jan-2019 10:34:14
 03-Jan-2019 16:55:16 	 Phuc 	03-Jan-2019 17:42:52
 03-Jan-2019 18:54:03 	 Phuc 	
 04-Jan-2019 09:04:30 	 Wei 	
 04-Jan-2019 14:43:23 	 Phuc 	04-Jan-2019 16:15:01
 04-Jan-2019 17:01:51 	 Phuc 	04-Jan-2019 17:49:16
 06-Jan-2019 10:47:41 	 Wei 	
 06-Jan-2019 12:20:51 	 Wei 	
 06-Jan-2019 12:34:56 	 Wei 	
 07-Jan-2019 13:54:07 	 Wei 	
 07-Jan-2019 15:34:42 	 Wei 	
 07-Jan-2019 15:56:03 	 Wei 	
 08-Jan-2019 09:47:21 	 Wei 	
 09-Jan-2019 16:44:08 	 Phuc 	09-Jan-2019 17:01:19
 14-Jan-2019 14:15:28 	 Wei 	
 14-Jan-2019 14:40:00 	 Wei 	
 16-Jan-2019 08:43:59 	 Phuc 	16-Jan-2019 09:23:36
 16-Jan-2019 14:25:00 	 Phuc 	16-Jan-2019 14:54:12
 16-Jan-2019 15:16:52 	 Phuc 	16-Jan-2019 15:52:58
 16-Jan-2019 18:50:06 	 Phuc 	16-Jan-2019 19:59:2517-Jan-2019 07:47:28
 17-Jan-2019 07:48:12 	 Phuc 	17-Jan-2019 08:18:57
 17-Jan-2019 08:20:08 	 Phuc 	
 17-Jan-2019 08:29:43 	 Phuc 	17-Jan-2019 09:06:12
 17-Jan-2019 09:19:50 	 Wei 	17-Jan-2019 16:52:18
 17-Jan-2019 18:42:40 	 Phuc 	17-Jan-2019 19:50:07
 18-Jan-2019 10:35:25 	 Wei 	
 18-Jan-2019 14:50:24 	 Phuc 	18-Jan-2019 15:16:10
 18-Jan-2019 16:45:22 	 Phuc 	18-Jan-2019 17:34:00
 18-Jan-2019 21:04:16 	 Phuc 	18-Jan-2019 22:26:51
 19-Jan-2019 13:24:45 	 Phuc 	
 19-Jan-2019 15:05:43 	 Phuc 	19-Jan-2019 15:50:17
 19-Jan-2019 17:34:24 	 Phuc 	
 20-Jan-2019 16:33:55 	 Phuc 	20-Jan-2019 17:50:23
 20-Jan-2019 19:26:42 	 Phuc 	20-Jan-2019 21:05:38
 21-Jan-2019 09:17:20 	 Gary 	
 21-Jan-2019 12:17:29 	 Gary 	
 21-Jan-2019 13:26:40 	 Gary 	
 21-Jan-2019 13:32:28 	 Gary 	
 21-Jan-2019 15:10:58 	 Wei 	
 21-Jan-2019 16:20:25 	 Gary 	
 21-Jan-2019 17:07:26 	 Gary 	
 21-Jan-2019 19:13:17 	 Phuc 	21-Jan-2019 19:58:19
 21-Jan-2019 21:01:31 	 Phuc 	21-Jan-2019 21:53:07
 21-Jan-2019 22:06:41 	 Phuc 	21-Jan-2019 22:39:47
 22-Jan-2019 09:43:08 	 Wei 	
 22-Jan-2019 17:08:35 	 Phuc 	
 22-Jan-2019 17:24:39 	 Phuc 	22-Jan-2019 17:41:12
 22-Jan-2019 17:44:17 	 Phuc 	22-Jan-2019 17:57:17
 22-Jan-2019 18:39:31 	 Phuc 	22-Jan-2019 18:56:45
 22-Jan-2019 19:25:46 	 Phuc 	
 22-Jan-2019 19:58:07 	 Phuc 	
 22-Jan-2019 20:03:16 	 Phuc 	
 23-Jan-2019 10:02:23 	 Phuc 	23-Jan-2019 10:44:06
 23-Jan-2019 11:01:04 	 Phuc 	
 23-Jan-2019 11:07:07 	 Phuc 	23-Jan-2019 11:23:28
 23-Jan-2019 11:40:47 	 Phuc 	
 23-Jan-2019 14:10:01 	 Phuc 	23-Jan-2019 15:15:46
 23-Jan-2019 16:01:57 	 Phuc 	
 25-Jan-2019 13:32:27 	 Phuc 	
 25-Jan-2019 14:03:04 	 Phuc 	
 25-Jan-2019 14:05:08 	 Phuc 	25-Jan-2019 14:45:33
 25-Jan-2019 14:58:57 	 Phuc 	
 25-Jan-2019 16:05:28 	 Phuc 	
 25-Jan-2019 17:27:34 	 Phuc 	
 27-Jan-2019 09:53:16 	 Phuc 	
 27-Jan-2019 11:13:50 	 Phuc 	27-Jan-2019 11:53:01
 27-Jan-2019 12:09:32 	 Phuc 	
 28-Jan-2019 10:39:21 	 Gary 	28-Jan-2019 10:40:48
 28-Jan-2019 10:45:52 	 Gary 	
 28-Jan-2019 11:02:55 	 Gary 	
 28-Jan-2019 11:05:45 	 Gary 	
 28-Jan-2019 12:21:15 	 Gary 	
 28-Jan-2019 15:48:43 	 Gary 	
 29-Jan-2019 07:57:54 	 Phuc 	29-Jan-2019 08:47:54
 29-Jan-2019 09:07:56 	 Phuc 	29-Jan-2019 09:30:16
 29-Jan-2019 09:45:25 	 Phuc 	29-Jan-2019 10:30:05
 29-Jan-2019 14:59:59 	 Wei 	
 30-Jan-2019 10:02:21 	 Phuc 	
 30-Jan-2019 13:08:29 	 Phuc 	
 30-Jan-2019 15:05:31 	 Phuc 	30-Jan-2019 15:58:19
