LoginTime 	 User 	 LogoutTime
 03-Jan-2017 09:48:15 	 aghapi 	03-Jan-2017 09:50:58
 03-Jan-2017 09:52:15 	 aghapi 	
 03-Jan-2017 10:02:49 	 aghapi 	
 03-Jan-2017 10:09:11 	 aghapi 	
 03-Jan-2017 10:14:18 	 aghapi 	03-Jan-2017 10:19:18
 03-Jan-2017 10:20:48 	 aghapi 	03-Jan-2017 10:26:08
 03-Jan-2017 10:29:35 	 aghapi 	
 03-Jan-2017 10:30:44 	 aghapi 	
 03-Jan-2017 10:32:53 	 aghapi 	
 03-Jan-2017 10:40:05 	 aghapi 	03-Jan-2017 10:54:25
 03-Jan-2017 10:55:00 	 aghapi 	04-Jan-2017 11:57:37
 04-Jan-2017 13:23:55 	 Wei 	
 05-Jan-2017 09:00:52 	 aghapi 	
 06-Jan-2017 14:40:21 	 Wei 	06-Jan-2017 14:42:03
 06-Jan-2017 14:55:38 	 Wei 	06-Jan-2017 14:55:53
 09-Jan-2017 16:37:43 	 Wei 	09-Jan-2017 16:39:44
